name,price,old_price,category
Lay's Klasik Cips 150 G & Ruffles Orijinal Cips 150 G,95.0,95.0,Cips
Samba Mevsim Yeşillikleri Patates Cipsi 135 G,34.0,34.0,Cips
Çerezza Biftekli Soğanlı Mısır Cipsi 60 G,25.0,25.0,Cips
Chips Master Kekikli Kabuklu Patates Cips 125 G,35.0,46.0,Cips
Samba Patates Cipsi Tırtıklı Acı Biber 135 G,34.0,34.0,Cips
Samba Biftek Soğan Mısır Cips 130 G,25.0,25.0,Cips
Ruffles Tatlı Baharatlı Sos Tadında Patates Cipsi 125 G ,40.0,40.0,Cips
Samba Ekşi Krema & Soğan Patates Cipsi 135 G,45.0,45.0,Cips
Patos Rolls Jalapeno & Lime Mısır Cipsi 109 G,30.0,30.0,Cips
Dubai Fusion Ekşi Krema ve Frenk Soğanı Nohut Cipsi 135 G,35.0,45.0,Cips
Patos Rolls Acı Kırmızı Biberli Mısır Cipsi 185 G  ,49.5,49.5,Cips
Çerezza Muhabbet Tuzlu Mısır Cipsi 60 G,25.0,25.0,Cips
Samba Tırtıklı Patates Cips 150 G,34.0,34.0,Cips
Barbie Ketçaplı Mısır Cipsi 35 G ,17.5,17.5,Cips
Patos Rolls Acı Biber Aromalı Mısır Cips 135 G,42.5,42.5,Cips
Samba Tatlı Acı Biber & Krem Peyniri Patates Cipsi 135 G,45.0,45.0,Cips
Ruffles Ketçap Aromalı Patates Cipsi 125 G,32.5,47.0,Cips
Samba Taco Mısır Cipsi 130 G,25.0,25.0,Cips
Samba Peynir Mısır Cips 130 G,25.0,25.0,Cips
Lay's Yoğurtlu Mevsim Yeşillikli Patates Cipsi 125 G,32.5,47.0,Cips
Çerezza Peynir Ve Soğanlı Mısır Cipsi 180 G,55.0,55.0,Cips
Samba Fıstıklı Mısır Cips 46 G,9.5,12.5,Cips
Patos Nachos Peynir Aromalı Mısır Cipsi 135 G,25.0,25.0,Cips
Hello Kitty Vanilyalı Mısır Cipsi 35 G  ,17.5,17.5,Cips
Lays Parmesan & Pesto Sosu Tadında Patates Cipsi 125 G ,40.0,40.0,Cips
Samba Acılı Mısır Cips 130 G,25.0,25.0,Cips
Lays Piliç Çevirme Tadında Patates Cipsi 125 G ,40.0,40.0,Cips
One Piece Kremalı Mantarlı Mısır Cipsi 35 G ,17.5,17.5,Cips
Samba Trüf Mantarı Patates Cipsi 135 G,45.0,45.0,Cips
Samba İnce Patates Cipsi 150 G,34.0,34.0,Cips
Ruffles Sade Patates Cipsi 125 G,32.5,47.0,Cips
Lay's Fırından Yoğurtlu Mevsim Yeşillikli Patates Cipsi 110 G,32.5,47.0,Cips
Patos Rolls Chili Lime Mısır Cips 135 G,42.5,42.5,Cips
Çerezos Peynir ve Soğanlı Mısır Cipsi 100 G,34.0,34.0,Cips
Doritos Nacho Mısır Cipsi 135 G,30.5,44.0,Cips
Doritos Extreme Mısır Cipsi 135 G,30.5,44.0,Cips
Samba Süt Mısırı Cipsi 130 G,25.0,25.0,Cips
Cipso Acı Baharatlı Tırtıklı Patates Cipsi 104 G,24.0,30.0,Cips
Samba Biftek Soğan Mısır Cips 46 G,12.5,12.5,Cips
Çerezya Ekşi Krema ve Soğan Soslu Cips Fıstık 200 G ,25.0,29.5,Kuruyemiş Kuru Meyve
Samba Peynir Mısır Cips 46 G,9.5,12.5,Cips
Ruffles Peynir ve Soğan Aromalı Patates Cipsi 125 G,32.5,47.0,Cips
Doritos Ketçaplı Mısır Cipsi 180 G,46.0,46.0,Cips
Samba Kaşkaval Peynirli Patates Cipsi 135 G ,45.0,45.0,Cips
Cipso Tırtıklı Ketçap Aromalı Patates Cipsi 125 G,35.0,35.0,Cips
Patos Taco Baharatlı Mısır Cipsi 185 G,49.5,49.5,Cips
Samba Tırtıklı Barbekü Patates Cipsi 200 G,47.5,47.5,Cips
Dubai Fusion Napoliten Pizza Nohut Cipsi 135 G,35.0,45.0,Cips
Patos Acı Baharatlı Mısır Cips 135 G,42.5,42.5,Cips
Ruffles Taco Patates Cipsi 160 G,46.0,46.0,Cips
Cheetos Fıstıklı/Peynirli/Biftekli Midi Mısır Cipsi 60 G,27.0,27.0,Cips
Patos Nachos Mısır Cipsi 185 G ,45.0,45.0,Cips
Doritos Shots Taco Baharatlı Mısır Cipsi 30 G,8.0,10.0,Cips
Samba Fıstıklı Mısır Cipsi 130 G,28.0,28.0,Cips
Doritos Cool Original Ranch Sos Aromalı Mısır Cipsi 130 G,39.0,39.0,Cips
Thraki Thai Chilli Aromalı Cips Fıstık 150 G,27.5,27.5,Kuruyemiş Kuru Meyve
Cipso Tırtıklı Yoğurtlu ve Mevsim Yeşillikleri Aromalı Patates Cipsi 125 G ,35.0,35.0,Cips
Lay's Baharatlı Patates Cipsi 125 G,32.5,47.0,Cips
Çerezza Yer Fıstıklı Dev Mısır Cipsi 150 G,55.0,55.0,Cips
Hot Wheels Peynirli Mısır Cipsi 35 G ,17.5,17.5,Cips
