Product Name,Price,Store,URL,Date
Cheetos Fırından 60 g 3'lü Paket,30.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Chipsm Kajun Cips 60 g,32.5,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Chipsm Barbekü Cips 60 g,32.5,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Cheetos Fırından Fıstıklı 46 g,21.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Claimont Barbie Çilek Aromalı Mısır Cips 40 G,15.9,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Soslu Cips Fıstık 200 g,32.5,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Taco Mısır Cipsi 130 g,25.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Master Potato Original Patates Cipsi 110 g,70.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Düz Sade Patates Cipsi 150 g,34.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Tırtıklı Sade Patates Cipsi 150 g,34.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Claimont Ninja Pizza Aromalı Mısır Cipsi 40 G,15.9,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Pesto Sos Çeşnili Patates Cipsi 200 g,47.5,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Barbekü Sos Çeşnili Patates Cipsi 200 g,47.5,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Barbekü Sos Çeşnili Mısır Cipsi 130 g,25.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Acı Baharat Çeşnili Patates Cipsi 135 g,34.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Amigo Nacho Peynir Çeşnili Mısır Cipsi 130 g,25.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Claimont Sponge Bob Peynir Aroma Mısır Cipsi 40 G,22.5,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Clamiont Naruto Acı-Limon Aromalı Mısır Cipsi 50 G,15.9,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Doritos Taco Cips 53 g,25.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
Lay's Klasik Patates Cipsi 125 g,47.0,SOK,https://www.sokmarket.com.tr/arama?q=cips,2025-10-05
